section,product_name,category,material,size,price,platform,log_price
REMAINING,CHANNAPATNA TOYS Wooden Spinning Tops for Kids (3 Years+) - Set of 4 Pcs - Multi-Color - Curiosity & Fine Motor Skills,Unknown,Unknown,Unknown,429,Channapatna Toys,6.063785209
REMAINING,CHANNAPATNA TOYS traditional Push Wagon Baby Walker for Infants and Toddlers to aid Walking Naturally for Baby Boy and Girl | for 8M to 18M Old Baby,Unknown,Unknown,Unknown,2335,Channapatna Toys,7.756195344
REMAINING,CHANNAPATNA Toys Peg Dolls Wooden Doctors Family Pretend Play Figurines - Colorful Organic Toys for Kids & Toddlers (2 Years+) - Pack of 4 pcs,Unknown,Unknown,Unknown,449,Channapatna Toys,6.109247583
REMAINING,"Channapatna Christmas Russian Nesting Dolls, Handcrafted Wooden Santa Design, 5 Pieces | GI and ODOP Certified",Unknown,Unknown,Unknown,699,Channapatna Toys,6.551080335
REMAINING,Channapatna Community Helpers Wooden Peg Dolls – Set of 8 | Handcrafted Eco-Friendly Role Play Toy for Kids,Unknown,Unknown,Unknown,999,Channapatna Toys,6.907755279
REMAINING,"Channapatna Handcrafted Pen Pencil Holder, Red and Yellow with Floral Design, Traditional Indian Wooden Desk Organizer",Unknown,Unknown,Unknown,399,Channapatna Toys,5.991464547
REMAINING,Channapatna Handcrafted Wooden Air India Maharaja Spring Head Doll | GI-Tagged Indian Wooden Toy | Collectible Craft Figurine,Unknown,Wood,Unknown,474,Channapatna Toys,6.163314804
REMAINING,Channapatna Handcrafted Wooden Bobblehead Bird Toy (Set of 2) | Eco-Friendly Decorative & Play Toy,Unknown,Natural Wood,Unknown,499,Channapatna Toys,6.214608098
REMAINING,"Channapatna Handcrafted Wooden Bride and Groom Peg Dolls, Wedding Couple Figurines, Traditional Decorative Set",Unknown,Unknown,"Each wooden doll measures approximately 14 cm in height, perfect for display or as cake toppers",699,Channapatna Toys,6.551080335
REMAINING,"Channapatna Handcrafted Wooden Christmas Decorations Tree Hanging Ornament Bells, Set of 3, Red, Green, Orange",Unknown,Unknown,Unknown,499,Channapatna Toys,6.214608098
REMAINING,"Channapatna Handcrafted Wooden Christmas Ornaments – Gingerbread, Snowman & Tree | Eco-Friendly Holiday Décor | GI-Tagged Indian Handicraft",Unknown,Unknown,Unknown,899,Channapatna Toys,6.802394763
REMAINING,"Channapatna Handcrafted Wooden Couple Dolls | Traditional Craft, Wooden Toy, Handmade, Decorative Figurine, Couple Set",Unknown,Unknown,Unknown,599,Channapatna Toys,6.396929655
REMAINING,Channapatna Handcrafted Wooden Cylinder Grad,Unknown,Unknown,Unknown,13999,Channapatna Toys,9.546812609
REMAINING,Channapatna Handcrafted Wooden Doll | Traditional Indian Folk Art Toy | Eco-Friendly Décor & Gift | by Meeran Art and Crafts,Unknown,Unknown,Unknown,799,Channapatna Toys,6.684611728
REMAINING,"Channapatna Handcrafted Wooden Leprechaun Roly Poly Toy, Traditional Indian Wobble Doll in Green and Orange, Educational Play Tumbler for Children",Unknown,Unknown,Unknown,849,Channapatna Toys,6.745236349
REMAINING,Channapatna Handcrafted Wooden Peg Dolls – Indian Village Couple | GI-Tagged Wooden Toys & ODOP Certified,Unknown,Unknown,Unknown,399,Channapatna Toys,5.991464547
REMAINING,Channapatna Handcrafted Wooden Rocket Toy | Natural Beech Wood | Space-Themed Pretend Play Toy for Kids | ODOP Certified,Unknown,Natural Beech Wood,Unknown,699,Channapatna Toys,6.551080335
REMAINING,Channapatna Handcrafted Wooden Stacker Toy for Kids - (1 Year+) - For Hand-Eye Coordination & Fine Motor Skill Development,Unknown,Unknown,Unknown,499,Channapatna Toys,6.214608098
REMAINING,"Channapatna Handcrafted Wooden Telephone Toy | GI-Tagged & ODOP Certified Traditional Indian Craft | Eco-Friendly Home Décor, Kids Pretend Play Toy",Unknown,Unknown,Unknown,525,Channapatna Toys,6.265301213
REMAINING,Channapatna Handmade Wooden Spinning Tops (Set of 3) – Lattu Spinning Toy – Multicolor | Ages 3+ | Traditional Craft for Curiosity & Fine Motor Skills,Unknown,Unknown,Unknown,459,Channapatna Toys,6.131226489
REMAINING,Channapatna Handpainted Wooden Nutcracker Soldier Christmas Ornament – 27 cm | GI-Tagged Craft | Handcrafted Home Decoration,Unknown,Sustainable wood,Unknown,999,Channapatna Toys,6.907755279
REMAINING,Channapatna Keychains Handcrafted Wooden Whistle Keychains set of 5pcs,Unknown,Unknown,"Measuring around 2-3 inches (5-7.5 cm), they are compact and easy to carry on your keychain.",379,Channapatna Toys,5.940171253
REMAINING,"Channapatna Sustainable Wooden Pull-Along Toy Unicorn for 12 Months & Above Kids, Toddlers, Infant & Preschool Toys - Multicolor - Attached String",Unknown,Unknown,Unknown,599,Channapatna Toys,6.396929655
REMAINING,Channapatna Toys,Unknown,Unknown,Unknown,500,Channapatna Toys,6.216606101
REMAINING,"Channapatna Toys Colorful Wooden Rattles for Baby/Infants Set of 3 pcs- Multicolor (0+ years) - Discover Sounds, Develops Sensory Skills",Unknown,Unknown,Unknown,449,Channapatna Toys,6.109247583
REMAINING,"Channapatna Toys Combo of Bowling Pin, Rainbow Stacker, Spinning Toys, Toy Set for Babies & Toddlers | Birthday Gifts for Kids (Pack of 3, Multicolor)",Unknown,Unknown,Unknown,1999,Channapatna Toys,7.60090246
REMAINING,"Channapatna Toys Early Learning Developmental Toy | Wooden Abacus Educational Toy to Build Math Skills Foundation-Counting, Addition, and Subtraction",Unknown,Unknown,Unknown,535,Channapatna Toys,6.284134161
REMAINING,Channapatna Toys Educational Wooden Blocks Rainbow Stacker Toy for Kids - (1 Year+) - Multicolor - Pack of 7 pcs - Develop Fine Motor Skills,Unknown,Unknown,Unknown,748,Channapatna Toys,6.618738984
REMAINING,Channapatna Toys Hammer Ball Musical Xylophone Musical Toy Wooden Pounding Bench with Box Case Instrument for Kids 2+ Years (Hammer Ball + Xylophone),Unknown,Unknown,Unknown,749,Channapatna Toys,6.620073207
REMAINING,Channapatna Toys Handmade Eco-Friendly Wooden Baby Rattles Non-Toxic Safe Traditional Indian Newborn Toys for Sensory Development,Unknown,Ivory wood (Wrightia tinctoria),Unknown,825,Channapatna Toys,6.716594774
REMAINING,Channapatna Toys Handmade Non toxic Wooden Cooking Set Premium (3 Years+) - multicolor - 16 Pieces Toy Set - Pretend & Play Toy,Unknown,Unknown,Unknown,829,Channapatna Toys,6.721425701
REMAINING,Channapatna Toys Handmade Non toxic Wooden Toys for Kids | 2 Pcs Doll Sharpener | Hand Pencil Sharpener for Kids/Return Gift/School/Home/Office,Unknown,Unknown,Unknown,329,Channapatna Toys,5.799092654
REMAINING,"Channapatna Toys Handmade Non toxic wooden rattle for baby/Infants ( 0+ Years) - set of 3 pcs - multicolor - Discover Sounds, Develops Sensory Skills",Unknown,Unknown,Unknown,439,Channapatna Toys,6.086774727
